번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g)
1,밥류,콩나물국밥,700,223.26,12.05,24,8.78,0.06,1950.91,125.03,1.48,0.03
2,밥류,"국밥, 소머리",800,631.99,17.53,75.98,28.66,0,823.26,241.92,9.67,0.6
3,밥류,김밥,200,317.68,57.57,7.26,6.48,0.5,833.29,40.49,2.75,0.06
4,밥류,"김밥, 김치",250,344.97,60.67,10.93,6.51,1.86,1145.54,74.18,1.58,0.05
5,밥류,"김밥, 샐러드",250,405.95,61.45,9.62,13.52,3.42,911.18,84.58,2.79,0.06
6,밥류,"김밥, 소고기",250,400.61,62.52,15.98,9.62,0.84,1061.19,93.08,2.52,0.11
7,밥류,"김밥, 참치",250,424.06,64.76,12.73,12.68,0.6,1108.41,97.82,3.91,0.18
8,밥류,"삼각김밥, 고추장불고기",100,165.29,34.11,3.66,1.58,0.2,342.92,3.51,0.45,0.01
9,밥류,"삼각김밥, 숯불갈비",100,161.24,32.55,4,1.67,0.16,358.36,4.04,0.53,0.02
10,밥류,"삼각김밥, 참치마요네즈",100,172.4,31.95,3.94,3.2,0.02,282.1,4.41,0.6,0.01
11,밥류,충무김밥,400,583.93,109.16,23.42,5.96,17.19,1294.27,156.85,1.1,0.02
12,밥류,"덮밥, 돼지고기",500,782.38,115.48,30.08,22.24,7.28,1538.06,83.76,5.68,0.16
13,밥류,"덮밥, 쇠고기",500,669.3,102.35,28.62,16.16,4.39,1499.14,66.5,4.57,0.45
14,밥류,"덮밥, 오징어",500,679.9,107.31,31.5,13.85,5.71,1622.91,280.59,2.31,0.09
15,밥류,장어덮밥,400,716.54,97.35,30.09,22.98,5.59,920.76,234.56,5.18,0.23
16,밥류,해물덮밥,700,771.93,100.45,42.04,22.44,1.2,1802.68,286.24,5.41,0.21
17,밥류,회덮밥,500,683.02,103.3,30.21,16.56,10.92,744.27,88.65,2.9,0.12
18,밥류,"덮밥, 참치",500,679.1,102.93,29.2,16.73,2.98,1618.74,115.79,3.4,0.08
19,밥류,류산슬덮밥,550,574.99,73.95,26.96,19.04,0.42,1579.35,120.87,3.39,0.12
20,밥류,송이덮밥,600,581.81,95.6,18.22,14.06,2.27,1678.01,48.2,2.79,0.1
21,밥류,볶음밥,400,773.3,112.68,18.79,27.5,0.86,1203.19,161.18,12.79,0.29
22,밥류,"볶음밥, 김치",500,754.74,120,23.06,20.28,4.28,1791.99,152.55,7.1,0.17
23,밥류,"볶음밥, 새우",400,700.02,112.86,17.92,19.66,1.2,1395.06,149.36,3.96,0.07
24,밥류,해물볶음밥,400,705.22,90.46,25.1,27,1.22,1074.35,241.8,5.38,0.15
25,밥류,오므라이스,450,729.97,112.45,21.52,21.56,10.35,1483.37,206.32,5.8,0.08
26,밥류,삼선볶음밥,400,686.11,85.75,26.24,26.46,1.58,1213.56,326.52,6.33,0.15
27,밥류,비빔밥,500,706.62,114.83,19.92,18.62,25.66,1337.1,111.13,3.84,0.12
28,밥류,육회비빔밥,450,679.7,96.18,29.18,19.8,12.03,935.91,115.98,4.2,0.19
29,밥류,"생선초밥, 광어",300,453.78,77.55,27.07,3.92,7.7,808.75,46.74,1.06,0.02
30,밥류,"생선초밥, 모듬",300,461.97,76.43,25.42,6.06,8.65,968.94,70.88,1.51,0.04
31,밥류,농어초밥,250,396.74,78.75,17.43,1.34,13.01,1035.04,26.5,0.65,0.02
32,밥류,문어초밥,250,392.23,81.78,14.62,0.74,13.38,1200.86,70.08,0.35,0
33,밥류,연어초밥,250,447.32,71.04,18.88,9.74,12.88,1064.38,32.05,1.84,0.06
34,밥류,새우초밥,250,387.67,78.42,16.8,0.75,11.66,1110.29,72.64,0.55,0.01
35,밥류,장어초밥,250,486.26,80.68,16.52,10.83,13.68,1270.91,102.77,2.91,0.1
36,밥류,한치초밥,250,374.18,77.92,13.71,0.85,13.13,1199.31,100.06,0.45,0
37,밥류,유부초밥,250,446.33,82.31,12.46,7.48,10.67,1046.16,2.47,1.53,0.04
38,밥류,잡채밥,650,884.66,159.47,19.49,18.76,2.76,1908.24,22.21,9.67,0.29
39,밥류,잡탕밥,750,777.44,104.94,44.12,20.14,0.48,2109.52,329.86,4.06,0.12
40,밥류,짜장밥,500,741.66,120.06,15.24,22.28,5.37,1560.38,26.44,8.56,0.16
41,밥류,카레라이스,500,672,126.01,13.49,12.66,4.97,1089.16,6.98,3.68,0.08
42,밥류,알밥,400,618.5,116.78,14.59,10.34,0.92,1339.31,84.39,2.49,0.1
43,밥류,짬뽕밥,900,661.76,110.85,29.05,11.35,2.47,2813.26,251.3,2.42,0.04
44,밥류,오곡밥,250,390,82.25,12,1.25,0.25,113.9,0,0.5,0
45,밥류,새우튀김롤,300,606.5,96.28,14.47,18.17,11.14,1391.43,55.88,3.41,0.11
46,밥류,연어롤,300,510.19,74.32,18.57,15.4,8.47,1211.9,61.97,2.83,0.1
47,밥류,캘리포니아롤,300,487.64,89.23,12.33,9.04,8.9,1295.88,65.96,2.14,0.05
48,빵 및 과자류,꽈배기,65,262.38,30.7,5.13,13.23,7.02,279.94,12.36,4.51,0.12
49,빵 및 과자류,"도우넛, 찹쌀",70,207.05,39.95,3.53,3.68,12.13,242.99,1.16,1.95,0.04
50,빵 및 과자류,만주,70,222.49,46.8,5.13,1.64,22.45,118.19,15.67,0.91,0.04
51,빵 및 과자류,머핀,130,560.71,69.29,7.37,28.23,39.5,407.17,71.21,5.24,0.13
52,빵 및 과자류,베이글,120,335.48,68.66,12.52,1.2,8.43,556,1.62,0.79,0.04
53,빵 및 과자류,곰보빵,70,277.34,42.16,6.31,9.27,11.73,202.25,23.59,4.63,0.21
54,빵 및 과자류,"빵, 마늘빵(마늘바게트)",70,296.55,40.22,6.85,12.03,5.21,390.45,8.94,7.71,0.2
55,빵 및 과자류,"빵, 모닝빵",70,231.86,36.44,6.9,6.5,5.46,276.07,24.05,3.16,0.07
56,빵 및 과자류,"빵, 버터크림빵",60,229.96,27.74,4.9,11.04,7.19,191.18,17.81,8.44,0.28
57,빵 및 과자류,"빵, 페이스트리",70,319.59,32.52,5.99,18.4,5.75,295.79,16.95,12.07,0.59
58,빵 및 과자류,카스텔라,70,235.1,36.28,5.44,7.58,21.25,73.04,138.29,2.68,0.11
59,빵 및 과자류,"샌드위치, 햄, 치즈",200,436.52,49.65,14.83,19.84,6.13,901.08,52.52,6.79,0.21
60,빵 및 과자류,생크림케이크,100,278.07,27.59,3.9,16.9,8.36,96.63,66.89,9.36,0.34
61,빵 및 과자류,초콜릿케이크,100,420.24,43.6,5.32,24.96,23.13,170,50.84,14.4,0.38
62,빵 및 과자류,치즈케이크,100,329.14,28.64,7.22,20.63,15.28,200.67,126.78,10.98,0.61
63,빵 및 과자류,"고로케,채소",100,300.65,31.19,7.12,16.38,3.37,403.33,41.9,3.59,0.15
64,빵 및 과자류,"한과, 산자",30,109.8,24.66,0.69,0.93,9.39,6.86,0,0.03,0
65,빵 및 과자류,"한과, 약과",30,119.7,25.47,1.26,1.44,5.07,17.19,0,0.36,0
66,빵 및 과자류,"한과, 매작과 ",30,123.9,19.83,2.25,3.96,4.92,29.83,10.03,0.69,0.03
67,빵 및 과자류,"한과, 송화다식",30,110.7,22.2,2.49,1.35,8.01,4.04,0,0.27,0
68,빵 및 과자류,"한과, 유과   ",30,127.2,22.26,0.84,3.84,7.23,6.84,0,0.42,0
69,면 및 만두류,짜장면,650,796.5,133.63,19.77,20.32,7.79,2391.58,10.76,8.52,0.18
70,면 및 만두류,간짜장,650,824.54,134.22,22.33,22.04,12.16,2716.2,28.72,9.71,0.24
71,면 및 만두류,삼선자장면,700,803.9,126.53,33.64,18.14,10.15,2628.24,166.56,4.06,0.09
72,면 및 만두류,"국수, 막국수",550,599.91,114.86,20.99,6.28,23.35,1503.04,64.43,1.56,0.03
73,면 및 만두류,"국수, 비빔국수",550,617.94,109.85,18.76,11.5,23.61,1854.91,26.09,1.97,0.09
74,면 및 만두류,잔치국수,700,599.16,118.53,21.13,4.51,0.71,1683.17,60.46,1,0
75,면 및 만두류,쫄면,450,601.78,109.57,18.4,9.99,24.17,1346.42,55.33,1.9,0.09
76,면 및 만두류,"냉면, 물냉면",800,551.62,112.9,15.82,4.08,23.18,2618.21,41.78,1.18,0
77,면 및 만두류,"냉면, 비빔냉면",550,622.74,122.4,19.54,6.11,27.03,1663.87,75.15,1.9,0.05
78,면 및 만두류,"냉면, 열무냉면",800,525.49,97.52,20.84,5.78,27.14,3152.37,67.78,1.36,0
79,면 및 만두류,"냉면, 회냉면",550,629.98,122.01,17.75,7.89,24.35,1517.81,78.63,1.95,0.06
80,면 및 만두류,떡국,800,711.3,147.18,20.63,4.46,0.48,1928.42,136.34,2.18,0.02
81,면 및 만두류,떡만두국,700,624.92,110.7,20.06,11.32,0.16,1980.19,122.42,3.44,0.08
82,면 및 만두류,"만두, 고기만두",250,452.01,48.64,16.3,21.36,2.92,849.33,16.01,6.08,0.1
83,면 및 만두류,"만두, 군만두",250,685.24,88.06,17.53,29.21,4.18,952.22,17.02,12.4,0.25
84,면 및 만두류,"만두, 김치만두",250,420.53,57.57,15.58,14.22,3.02,941.25,12.7,4.84,0.08
85,면 및 만두류,"만두, 물만두",120,156.67,18.69,6.76,6.1,0.66,287.02,10.7,3.99,0.07
86,면 및 만두류,만두국,700,434.05,47.83,21.43,17.44,3.04,2368,94.52,4.24,0.05
87,면 및 만두류,수제비,800,646.84,128.38,20.84,5.55,4.32,2030.3,82.66,1.43,0.01
88,면 및 만두류,오일소스스파게티,400,646.74,89.42,19.56,23.43,1.41,1124.33,31.62,3.89,0.05
89,면 및 만두류,크림소스스파게티,400,837.57,73.76,21.79,50.59,9.17,1030.21,126.58,25.66,1
90,면 및 만두류,토마토소스스파게티,500,642.58,93.2,24.35,19.15,15.6,1508.64,49.17,5.44,0.21
91,면 및 만두류,해물크림소스스파게티,500,917.57,86.98,30.4,49.79,8.36,1323.7,210.88,24.73,0.94
92,면 및 만두류,해물토마토소스스파게티,500,584.44,87.24,27.98,13.73,13.48,1533.16,159.64,3.14,0.07
93,면 및 만두류,"우동,일식",700,421.51,74.2,13.39,7.9,2.48,2390.32,25.98,1.49,0.01
94,면 및 만두류,"우동,중식",1000,648.47,85.37,29.45,21.02,1.1,3395.86,208.42,3.35,0.03
95,면 및 만두류,김치우동,800,500.18,99.14,15.55,4.6,2.13,2874.6,14.13,0.83,0
96,면 및 만두류,삼선우동,1000,691.66,105.9,47.94,8.48,0.8,2722.32,620.9,2.02,0
97,면 및 만두류,짬뽕,1000,687.62,100.59,28.17,19.18,3.38,4000.09,109.43,12.98,0.24
98,면 및 만두류,굴짬뽕,900,680.67,115.69,32.87,9.6,1.7,2662.34,163.3,1.41,0.04
99,면 및 만두류,삼선짬뽕,900,662.36,101.74,39.63,10.77,1.09,2689.13,312.48,1.92,0.03
100,면 및 만두류,"칼국수, 해물",900,628.26,123.9,22.81,4.61,3.81,2355.08,26.7,1.3,0.01
101,면 및 만두류,콩국수,800,666.82,112.02,31.03,10.51,4.69,944.59,31.26,4.3,0
102,면 및 만두류,기스면,1000,606.93,89.79,37.82,10.72,0.5,2764.59,416.54,2.12,0
103,면 및 만두류,메밀국수,600,611.72,117.8,19.64,6.88,11.37,1753.84,3.45,0.54,0
104,면 및 만두류,울면,1000,728.86,128.18,37.46,7.37,0.5,2799.92,445.79,1.85,0.01
105,죽 및 스프류,"죽, 깨죽",800,515.34,79.3,13.66,15.94,3.59,1160.18,0,2.82,0.01
106,죽 및 스프류,"죽, 쇠고기버섯죽",800,578.28,109.02,18.74,7.46,0.26,1261.8,26.08,2.72,0.14
107,죽 및 스프류,잣죽,700,874.48,155.27,19.18,19.63,2.36,878.82,0,1.99,0.24
108,죽 및 스프류,"죽, 전복죽",800,590.82,114.31,12.58,9.26,0.22,1309.46,28.47,1.79,0.05
109,죽 및 스프류,참치죽,800,659.6,104.57,24.19,16.06,1.36,1342.4,39.96,1.82,0.06
110,죽 및 스프류,"죽, 팥죽",600,498.06,97.81,18.43,3.68,1.69,1026.43,0,0.49,0.01
111,죽 및 스프류,"죽, 호박죽",600,442.75,89.39,7.09,6.32,16.7,929.2,1.72,1.06,0.01
112,죽 및 스프류,"죽, 흰죽, 게살죽",800,564.83,107.34,17.9,7.1,0.17,1453.82,50.16,2.11,0.07
113,국 및 탕류,갈비탕,600,236.75,7.61,27.38,10.76,0,1717.54,112.25,2.86,0.16
114,국 및 탕류,곰탕,700,579.61,7.35,70.13,29.97,0,822.77,197.94,7.97,0.75
115,국 및 탕류,"곰탕, 꼬리",700,765.79,4.63,102.3,37.56,0,765.74,251.92,9.81,1.04
116,국 및 탕류,삼계탕(닭백숙),1000,917.61,40.93,115.29,32.52,0,1310.98,471.7,10.76,0.32
117,국 및 탕류,도가니탕,800,573.18,4.54,100.88,16.83,0,598.16,163.79,4.71,0.44
118,국 및 탕류,선짓국,800,337.35,10.97,51.14,9.88,0.07,2518.98,294.04,2.01,0.1
119,국 및 탕류,설렁탕,600,419.81,12.56,59.58,14.59,0.25,685.78,145.33,5.72,0.4
120,국 및 탕류,순대국,800,540.3,17.26,43.52,33.02,0,1504.04,246,10.98,0.16
121,국 및 탕류,어묵국,600,250.86,34.24,18.34,4.51,2.14,2064.71,24.74,1.56,0.02
122,국 및 탕류,"육개장, 쇠고기",700,339.87,20.82,21.9,18.77,0.54,2853.09,142.71,7.27,0.76
123,국 및 탕류,토란국,250,462.5,92,8.5,6.75,0,702.5,19.88,0.75,0
124,국 및 탕류,연포탕,1000,541.64,20.19,94.9,9.03,0.23,2337.46,1057.46,1.75,0.08
125,국 및 탕류,탕국         ,250,92.5,0.25,13.25,4.25,0,656.75,30.12,1,0
126,국 및 탕류,소탕        ,150,87,1.95,7.65,5.4,0,353.6,0,0.6,0
127,국 및 탕류,어탕        ,150,85.5,1.8,12.75,3.15,0,485.08,52.56,0.45,0
128,국 및 탕류,육탕        ,150,87,0.3,12.6,3.9,0,356.94,43.78,1.65,0.15
129,찌개 및 전골류,동태찌개(생태찌개),800,368.18,10.44,46.19,15.74,2.61,2575.62,315.41,2.34,0.34
130,찌개 및 전골류,감자탕,900,959.54,26.88,95.93,52.03,0.76,2631.2,453.8,16.48,0.16
131,찌개 및 전골류,김치찌개,400,243.03,11.93,15.07,15,3.02,1962.14,25.18,2.76,0.03
132,찌개 및 전골류,내장탕,700,546.64,13.59,54.78,30.35,1.18,2336.88,460.59,8.39,0.47
133,찌개 및 전골류,닭볶음탕,300,367.92,22.63,37.98,13.94,5.75,1023.02,154.84,4.03,0.08
134,찌개 및 전골류,된장찌개,400,144.88,13.46,11.5,5.01,1.8,2021.01,11.81,0.78,0
135,찌개 및 전골류,순두부찌개,400,200.08,7.62,14.43,12.43,1.32,1350.98,80.94,1.79,0.09
136,찌개 및 전골류,광어매운탕,600,419.8,9.13,58.42,16.62,1.42,1799.02,375.05,3.04,0.08
137,찌개 및 전골류,대구매운탕,600,361.75,16.84,57.36,7.21,1.09,1983.9,516.74,0.97,0.03
138,찌개 및 전골류,우럭매운탕,600,406.82,11.24,52.15,17.03,1.08,1773.88,362.77,2.97,0.08
139,찌개 및 전골류,부대찌개,600,520.05,47.35,25.96,25.2,3.87,2664.21,82.64,6.79,0.11
140,찌개 및 전골류,알탕,700,425.56,11.46,66.68,12.56,0.03,2642.17,1009.53,2.21,0.18
141,찌개 및 전골류,청국장찌개,400,271.57,10.41,22.4,15.59,1,1794.84,3.83,2.3,0
142,찌개 및 전골류,추어탕,700,341.13,20.29,24.59,17.96,0,2046.47,106.19,1.55,0.1
143,찌개 및 전골류,콩비지찌개,400,247.61,17.87,19.37,10.96,1.28,1287.09,24.05,1.96,0.02
144,찌개 및 전골류,장어탕,800,486.43,23.59,34.22,28.35,1.79,2074.55,285.42,5.39,0.2
145,찜류,민어찜       ,100,137,0,21.5,5.9,0,1089.43,97.77,1.7,0
146,찜류,도미찜,100,126,0.5,23,3.5,0,839.96,99.01,0.9,0
147,찜류,아구찜,400,310.87,17.47,48.3,5.31,0.69,1406.2,389.13,0.86,0.03
148,찜류,조기찜,100,182,1.6,20.1,10.6,0,602.03,138.43,2.8,0.1
149,찜류,홍어찜,250,202.67,1.22,47.12,1.04,1.22,644.96,235.12,0.34,0.01
150,찜류,전어찜,100,278,0.6,17.3,23,0,447.4,97.88,6.8,0.1
151,찜류,병어찜       ,100,180,0.2,18.9,11.5,0,650.98,71.92,3.6,0.1
152,찜류,문어숙회     ,80,67.2,0.72,14.88,0.48,0,208.33,140.11,0.16,0
153,찜류,소갈비찜,250,494.6,13.14,49.86,26.96,4.32,753.64,141.48,10.34,1.07
154,찜류,참꼬막       ,80,90.4,4.56,12.48,2.48,0,234.16,65.03,0.4,0
155,찜류,돼지고기 수육,300,1205.9,10.3,67.08,99.6,0.25,416.68,133.91,36.97,0.33
156,찜류,족발,150,393.77,5.51,39.04,23.95,0.32,542.57,74.87,6.97,0.1
157,찜류,순대,300,542.42,58.36,19.56,25.64,3.5,1019.19,19.22,7.3,0.12
158,찜류,한방오리백숙,300,469.53,3.36,68.79,20.1,0.35,276.43,372.07,6.39,0.14
159,구이류,갈치구이,250,481.32,0.35,61.99,25.77,0.35,1022.03,198.95,7.35,0.25
160,구이류,고등어구이,250,667.87,1.86,59.24,47.18,0.35,1227.73,136.31,12.13,0.51
161,구이류,"장어구이, 양념",150,433.35,8.8,30.77,30.56,4.18,704.64,215.24,7.1,0.27
162,구이류,돼지갈비구이,350,941.38,29.07,72.7,59.37,11.37,1341.59,189.03,21.84,0.34
163,구이류,"꼬치구이, 닭살",70,176.72,13.35,11.56,8.57,3.15,286.91,31.44,2.32,0.04
164,구이류,햄버그스테이크,200,457.7,20.76,26.96,29.65,5.33,950.22,70.28,9.41,0.31
165,구이류,훈제오리,250,797.14,12.08,43.06,64.06,0.27,1220.37,171,15.98,0.39
166,구이류,소불고기,200,176.71,18.3,12.75,5.83,3.36,892.09,41.41,1.55,0.16
167,전/ 적 및 부침류,김치전,150,282.27,34.49,7.1,12.88,1.55,686.94,28.52,2.23,0.08
168,전/ 적 및 부침류,깻잎전,150,361.1,14.54,17.74,25.78,1.06,480.15,131.8,5.43,0.15
169,전/ 적 및 부침류,버섯전,150,240,16.2,10.5,14.85,2.7,313.75,100.1,2.25,0
170,전/ 적 및 부침류,부추전,150,253.5,37.35,5.7,9,1.35,249.44,9.27,1.35,0
171,전/ 적 및 부침류,고추전,150,274.69,17.01,12.91,17.22,2.17,362.2,78.81,3.52,0.09
172,전/ 적 및 부침류,호박전,150,208.5,16.05,6.45,13.05,2.85,276.96,92.52,2.4,0
173,전/ 적 및 부침류,배추전,150,240,35.55,5.1,8.7,4.95,326.82,7.23,1.35,0.15
174,전/ 적 및 부침류,미나리전     ,150,226.5,34.2,5.25,7.65,1.8,248.7,11.88,1.2,0
175,전/ 적 및 부침류,녹두빈대떡,100,207.94,20.93,7.94,10.27,0.1,232.05,12.48,2.26,0.06
176,전/ 적 및 부침류,쇠고기산적,200,454,7.4,48.4,25.6,0,1392.84,134.84,7,0.8
177,전/ 적 및 부침류,화양적,150,272.65,21.35,13.58,14.77,1.21,797.03,123.25,3.82,0.1
178,전/ 적 및 부침류,계적        ,250,487.5,0,57.75,30.5,0,210.1,169.2,8,0.25
179,전/ 적 및 부침류,돔베기적     ,100,159,0,30.1,7.4,0,451.25,64.23,0.6,0
180,전/ 적 및 부침류,소라산적     ,80,120,6.48,17.92,2.48,0.88,396.67,100.34,0.4,0
181,전/ 적 및 부침류,오징어산적   ,80,101.6,3.6,17.36,2,0.88,477.1,234.25,0.24,0
182,전/ 적 및 부침류,홍어적       ,100,89,0,23.6,0.7,0.3,323.53,96.77,0.1,0
183,전/ 적 및 부침류,홍합산적     ,80,156.8,10.56,17.76,4.8,3.36,719.72,60.71,0.8,0.08
184,전/ 적 및 부침류,두부전,150,255,7.5,20.4,15.9,0,317.16,3.28,1.95,0
